NOME_REGIONE,Totale_Maschi,Totale_Femmine
Totale,6177016,6496805
Piemonte,391799,417469
Valle d'Aosta/Vallée d'Aoste,18268,20588
Lombardia,2769384,2912559
Trentino-Alto Adige/Südtirol,50868,52953
Veneto,527531,542071
Friuli-Venezia Giulia,42849,44577
Liguria,147120,161849
Emilia-Romagna,899173,946560
Toscana,404649,431081
Umbria,93868,100686
Marche,175079,186308
Lazio,51261,54331
Abruzzo,57323,59194
Molise,12326,12420
Campania,79492,82714
Puglia,202119,213439
Basilicata,16411,16778
Calabria,17885,18251
Sicilia,132204,135107
Sardegna,87407,87870
